symbol,sector
BEARDSELL,Infrastructure
BECTORFOOD,FMCG
BEDMUTHA,Metal
BEEKAY,Unmapped
BEL,Infrastructure
BELLACASA,Auto
BELRISE,Auto
BEML,Infrastructure
BENGALASM,Unmapped
BEPL,Metal
BERGEPAINT,Metal
BESTAGRO,Metal
BETA,Pharma
BFINVEST,Bank
BFUTILITIE,Infrastructure
BHAGCHEM,Metal
BHARATCOAL,Metal
BHARATFORG,Auto
BHARATRAS,Metal
BHARATSE,Auto
BHARATWIRE,Metal
BHARTIARTL,Media
BHARTIHEXA,Media
BHEL,Infrastructure
BI,Unmapped
BIGBLOC,Infrastructure
BIKAJI,FMCG
BIL,Auto
BIMETAL,Auto
BIOCON,Pharma
BIOFILCHEM,Pharma
BIRLACORPN,Metal
BIRLAMONEY,Bank
BIRLANU,Infrastructure
BIRLAPREC,Unmapped
BLACKBUCK,IT
BLAL,Bank
BLBLIMITED,Bank
BLIL,Unmapped
BLKASHYAP,Infrastructure
BLS,Infrastructure
BLSE,Infrastructure
BLUEDART,Infrastructure
BLUEJET,Pharma
BLUESTARCO,Infrastructure
BLUESTONE,Auto
BLUSPRING,Infrastructure
BMWVENTLTD,Metal
BNALTD,Unmapped
BOHRAIND,Metal
BOMDYEING,Auto
BONLON,Metal
BORANA,Auto
BOROLTD,Auto
BORORENEW,IT
BOROSCI,Auto
BOSCH-HCIL,Auto
BOSCHLTD,Auto
BPCL,Energy
BPL,IT
BRIGADE,Realty
BRIGHOTEL,Auto
BRITANNIA,FMCG
BRNL,Infrastructure
BSE,Bank
BSL,Auto
BSOFT,IT
BTML,Media
BUILDPRO,Auto
BUTTERFLY,Auto
BVCL,Metal
CAMLINFINE,Metal
CAMPUS,Auto
CAMS,IT
CANBK,PSU Bank
CANFINHOME,Bank
CANHLIFE,Bank
CANTABIL,Auto
CAPACITE,Infrastructure
CAPILLARY,IT
CAPITALSFB,Bank
CAPLIPOINT,Pharma
CAPTRUST,Bank
CARBORUNIV,Infrastructure
CARERATING,Bank
CARRARO,Auto
CARTRADE,Auto
CARYSIL,Auto
CASTROLIND,Energy
CCAVENUE,IT
CCCL,Infrastructure
CCHHL,Auto
CCL,FMCG
CDSL,Bank
CEATLTD,Auto
CEIGALL,Infrastructure
CEINSYS,Infrastructure
CELEBRITY,Auto
CELLO,Auto
CEMPRO,Infrastructure
CENTENKA,Auto
CENTEXT,Metal
CENTRALBK,PSU Bank
CENTRUM,Bank
CENTUM,IT
CENTURYPLY,Metal
CERA,Infrastructure
CESC,Energy
CEWATER,Energy
CGCL,Bank
CGPOWER,Infrastructure
CHALET,Auto
CHAMBLFERT,Metal
CHEMPLASTS,Metal
CHENNPETRO,Energy
CHEVIOT,Auto
CHOICEIN,Bank
CHOLAFIN,Bank
CHOLAHLDNG,Bank
CIEINDIA,Auto
CIFL,Bank
CINELINE,Media
CINEVISTA,Media
CIPLA,Pharma
CLEAN,Metal
CLEANMAX,Energy
CLSEL,FMCG
CMPDI,Metal
CMRGREEN,Metal
CMSINFO,Infrastructure
CNL,IT
COALINDIA,Energy
COASTCORP,FMCG
COCHINSHIP,Infrastructure
COCKERILL,Infrastructure
COFORGE,IT
COHANCE,Pharma
COLPAL,FMCG
COMFINTE,Unmapped
COMPUSOFT,FMCG
COMSYN,Auto
CONCOR,Infrastructure
CONCORDBIO,Pharma
CONFIPET,Energy
CONSOFINVT,Bank
CONTROLPR,Infrastructure
CORALFINAC,Realty
CORDELIA,Infrastructure
COROMANDEL,Metal
CORONA,Pharma
COSMOFIRST,Auto
COUNCODOS,Realty
CPEDU,FMCG
CPPLUS,Infrastructure
CRAFTSMAN,Auto
CRAMC,Bank
CREATIVEYE,Media
CREDITACC,Bank
CREST,Bank
CRISIL,Bank
CRIZAC,FMCG
CROMPTON,Auto
CROWN,Infrastructure
CSBBANK,Bank
CSLFINANCE,Bank
CSM,IT
CTE,IT
CUB,Bank
CUBEXTUB,Metal
CUMMINSIND,Infrastructure
CUPID,FMCG
CURAA,IT
CYIENT,Infrastructure
CYIENTDLM,Infrastructure
DABUR,FMCG
DALBHARAT,Metal
DALMIASUG,Sugar
DAMCAPITAL,Bank
DANGEE,Auto
DATAMATICS,IT
DATAPATTNS,Infrastructure
DAVANGERE,FMCG
DBCORP,Media
DBL,Infrastructure
DBOL,FMCG
DCAL,Pharma
DCBBANK,Bank
DCI,IT
DCMSHRIRAM,Infrastructure
DCMSRIND,FMCG
DCW,Metal
DCXINDIA,Infrastructure
DDEVPLSTIK,Metal
DECCANCE,Metal
DECNGOLD,Unmapped
DEEPAKFERT,Metal
DEEPAKNTR,Metal
DEEPINDS,Energy
DELHIVERY,Infrastructure
DELTACORP,Auto
DELTAMAGNT,Auto
DEN,Media
DENORA,Infrastructure
DENTA,Infrastructure
DEVIT,IT
DEVX,Realty
DEVYANI,Auto
DGCONTENT,Media
DHAMPURSUG,Sugar
DHANBANK,Bank
DHANUKA,Metal
DHARMAJ,Metal
DHUNINV,Bank
DIACABS,Infrastructure
DIAMINESQ,Metal
DIAMONDYD,FMCG
DICIND,Metal
DIFFNKG,Infrastructure
DIGIDRIVE,Auto
DIGITIDE,Infrastructure
DIGJAMLMTD,Auto
DISAQ,Unmapped
DIVGIITTS,Auto
DIVISLAB,Pharma
DIXON,IT
DJML,Infrastructure
DLF,Realty
DLINKINDIA,IT
DMART,FMCG
DMCC,Metal
DNAMEDIA,Media
DODLA,FMCG
DOLATALGO,Bank
DOLLAR,Auto
DOLPHIN,Energy
DOMS,Infrastructure
DONEAR,Auto
DPABHUSHAN,Auto
DRAGARWQ,Unmapped
DRCSYSTEMS,IT
DREAMFOLKS,Infrastructure
DREDGECORP,Infrastructure
DRREDDY,Pharma
DSSL,IT
DTIL,FMCG
DUCON,Infrastructure
DVL,Bank
DWARKESH,Sugar
DYCL,Infrastructure
DYNAMATECH,Auto
DYNPRO,Metal
E2E,IT
EASEMYTRIP,Auto
EBGNG,IT
ECLERX,IT
EDELWEISS,Bank
EFCIL,Realty
EICHERMOT,Auto
EIDPARRY,Metal
EIEL,Infrastructure
EIHAHOTELS,Auto
EIHOTEL,Auto
EIMCOELECO,Infrastructure
EKC,Infrastructure
ELANTAS,Metal
ELCIDIN,Unmapped
ELDEHSG,Realty
ELECON,Infrastructure
ELECTCAST,Infrastructure
ELECTHERM,Metal
ELGIEQUIP,Infrastructure
ELGIRUBCO,Auto
ELIN,Infrastructure
ELITECON,Unmapped
ELLEN,Metal
ELPROINTL,Unmapped
EMAMILTD,FMCG
EMAMIPAP,Metal
EMBDL,Realty
EMCURE,Pharma
EMIL,Auto
EMKAY,Bank
EMMVEE,IT
EMSLIMITED,Infrastructure
EMUDHRA,IT
ENDURANCE,Auto
ENERGYDEV,Energy
ENGINERSIN,Infrastructure
ENIL,Media
ENRIN,Energy
ENTERO,Pharma
EPACK,Auto
EPACKPEB,Infrastructure
EPIGRAL,Metal
EPL,Auto
EQUITASBNK,Bank
ERIS,Pharma
ESABINDIA,Infrastructure
ESAFSFB,Bank
ESCORTS,Infrastructure
ESSARSHPNG,Infrastructure
ESTER,Metal
ETERNAL,Auto
ETHOSLTD,Auto
EUREKAFORB,Auto
EUROBOND,Infrastructure
EUROPRATIK,Metal
EVEREADY,Infrastructure
EXCELINDUS,Metal
EXCELSOFT,IT
EXICOM,Infrastructure
EXIDEIND,Auto
EXPLEOSOL,IT
EXXARO,Infrastructure
FABTECH,Pharma
FACT,Metal
FAZE3Q,Auto
FCL,Metal
FDC,Pharma
FEDDERSHOL,Unmapped
FEDERALBNK,Bank
FEDFINA,Bank
FERMENTA,Unmapped
FIBERWEB,Auto
FIEMIND,Auto
FILATEX,Auto
FINCABLES,Infrastructure
FINEORG,Metal
FINKURVE,Bank
FINOPB,Bank
FINPIPE,Infrastructure
FIRSTCRY,Auto
FISCHER,Pharma
FIVESTAR,Bank
FLAIR,Infrastructure
FLUOROCHEM,Metal
FMGOETZE,Auto
FOODSIN,FMCG
FORCEMOT,Auto
FORTIS,Pharma
FOSECOIND,Metal
FRACTAL,IT
FRONTSP,Unmapped
FSL,IT
FUSION,Bank
GABRIEL,Auto
GAEL,FMCG
GAIL,Energy
GALAPREC,Infrastructure
GALAXYSURF,Metal
GALLANTT,Metal
GANDHAR,Energy
GANDHITUBE,Infrastructure
GANECOS,Auto
GANESHBE,Metal
GANESHCP,FMCG
GANESHHOU,Realty
GANGESSECU,FMCG
GARFIBRES,Auto
GARUDA,Infrastructure
GATECH,Bank
GATECHDVR,Bank
GATEWAY,Infrastructure
GAYAHWS,Infrastructure
GCSL,Bank
GEEKAYWIRE,Infrastructure
GEMAROMA,Metal
GENCON,Infrastructure
GENESYS,IT
GENUSPAPER,Metal
GENUSPOWER,Infrastructure
GEOJITFSL,Bank
GESHIP,Infrastructure
GFLLIMITED,Bank
GHCL,Metal
GHCLTEXTIL,Auto
GICHSGFIN,Bank
GICL,Infrastructure
GICRE,Bank
GILLANDERS,FMCG
GILLETTE,FMCG
GIPCL,Energy
GKENERGY,Energy
GKSL,Pharma
GKWLIMITED,Infrastructure
GLAND,Pharma
GLAXO,Pharma
GLENMARK,Pharma
GLOBAL,FMCG
GLOBALVECT,Infrastructure
GLOBE,Auto
GLOBUSSPR,FMCG
GLOSTERLTD,Auto
GMBREW,FMCG
GMDCLTD,Energy
GMMPFAUDLR,Infrastructure
GMRAIRPORT,Infrastructure
GMRP&UI,Energy
GNA,Auto
GNFC,Metal
GNRL,Unmapped
GOACARBON,Metal
GOCLCORP,Metal
GOCOLORS,Auto
GODAVARIB,Metal
GODFRYPHLP,FMCG
GODIGIT,Bank
GODREJAGRO,FMCG
GODREJCP,FMCG
GODREJIND,Infrastructure
GODREJPROP,Realty
GOKEX,Auto
GOKUL,FMCG
GOKULAGRO,FMCG
GOLDIAM,Auto
GOODLUCK,Metal
GOODYEAR,Auto
GOPAL,FMCG
GOYALALUM,Metal
GPIL,Metal
GPPL,Infrastructure
GPTHEALTH,Pharma
GPTINFRA,Infrastructure
GRANDOAK,Unmapped
GRANULES,Pharma
GRAPHITE,Infrastructure
GRASIM,Metal
GRAUWEIL,Metal
GRAVISSHO,Unmapped
GRAVITA,Infrastructure
GREAVESCOT,Infrastructure
GREENLAM,Auto
GREENPANEL,Metal
GREENPLY,Metal
GREENPOWER,Energy
GRINDWELL,Infrastructure
GRINFRA,Infrastructure
GRMOVER,FMCG
GROBTEA,FMCG
GROWW,Bank
GRPLTD,Auto
GRSE,Infrastructure
GRWRHITECH,Metal
GSFC,Metal
GSLSU,Metal
GSPCROP,Metal
GSS,IT
GTL,Media
GTLINFRA,IT
GTPL,Media
GUFICBIO,Pharma
GUJALKALI,Metal
GUJAPOLLO,Infrastructure
GUJENERGY,Energy
GUJRAFFIA,Unmapped
GUJTHEM,Pharma
GULFOILLUB,Metal
GULPOLY,Metal
GVPIL,Infrastructure
GVPTECH,IT
GVT&D,Infrastructure
GYFTR,Infrastructure
HAL,Infrastructure
HALDER,FMCG
HALEOSLABS,Pharma
HAPPSTMNDS,IT
HAPPYFORGE,Infrastructure
HARDWYN,Infrastructure
HARIOMPIPE,Metal
HARRMALAYA,FMCG
HARSHA,Infrastructure
HATHWAY,Media
HATSUN,FMCG
HAVELLS,Infrastructure
HAVISHA,Auto
HAWKINCOOK,Auto
HBESD,Unmapped
HBLENGINE,Infrastructure
HCC,Infrastructure
HCG,Pharma
HCL-INSYS,IT
HCLTECH,IT
HDBFS,Bank
HDFCAMC,Bank
HDFCBANK,Bank
HDFCLIFE,Bank
HEADSUP,Auto
HEALTHX,Pharma
HECPROJECT,Infrastructure
HEG,Infrastructure
HEIDELBERG,Metal
HEMIPROP,Realty
HERANBA,Metal
HERITGFOOD,FMCG
HEROMOTOCO,Auto
HESTERBIO,Pharma
HEXATRADEX,Bank
HEXT,IT
HFCL,IT
HGINFRA,Infrastructure
HGM,IT
HGS,Infrastructure
HIKAL,Pharma
HIMATSEIDE,Auto
HINDALCO,Metal
HINDCOMPOS,Auto
HINDCOPPER,Metal
HINDOILEXP,Energy
HINDPETRO,Energy
HINDUNILVR,FMCG
HINDWAREAP,Auto
HINDZINC,Metal
HIRECT,Infrastructure
HISARMETAL,Metal
HITECH,Metal
HLEGLAS,Infrastructure
HLVLTD,Auto
HMAAGRO,FMCG
HMVL,Media
HNDFDS,Infrastructure
HOMEFIRST,Bank
HONASA,FMCG
HONAUT,Infrastructure
HONDAPOWER,Infrastructure
HPAL,Metal
HPIL,Metal
HPL,Infrastructure
HSCL,Metal
HTMEDIA,Media
HUBTOWN,Realty
HUDCO,Bank
HUHTAMAKI,Auto
HYUNDAI,Auto
ICDSLTD,Realty
ICEMAKE,Infrastructure
ICICIAMC,Bank
ICICIBANK,Bank
ICICIGI,Bank
ICICIPRULI,Bank
ICIL,Auto
ICRA,Bank
IDBI,Bank
IDEA,Media
IDFCFIRSTB,Bank
IEX,Bank
IFBIND,Auto
IFCI,Bank
IFGLEXPOR,Metal
IGARASHI,Auto
IGCL,Metal
IGIL,Metal
IGL,Energy
IGPL,Metal
IIFL,Bank
IIFLCAPS,Bank
IITL,Bank
IKIO,IT
IKS,Pharma
IMAGICAA,Media
IMFA,Metal
IMPAL,Auto
INA,IT
INCREDIBLE,Metal
INDBANK,Bank
INDGN,Pharma
INDHOTEL,Auto
INDIACEM,Metal
INDIAGLYCO,Metal
INDIAMART,Media
INDIANB,PSU Bank
INDIANCARD,Auto
INDIANHUME,Infrastructure
INDIASHLTR,Bank
INDIGO,Infrastructure
INDIGOPNTS,Metal
INDIQUBE,Realty
INDNIPPON,Auto
INDOBORAX,Metal
INDOCO,Pharma
INDOFARM,Infrastructure
INDORAMA,Auto
INDOSTAR,Bank
INDOTHAI,Bank
INDOUS,Metal
INDPRUD,Unmapped
INDRAMEDCO,Pharma
INDSWFTLAB,Pharma
INDTERRAIN,Auto
INDUSINDBK,Bank
INDUSTOWER,Media
INFOBEAN,IT
INFOMEDIA,Bank
INFY,IT
INGERRAND,Infrastructure
INNOVACAP,Pharma
INNOVANA,IT
INNOVISION,Infrastructure
INOXGREEN,Energy
INOXINDIA,Infrastructure
INOXWIND,Infrastructure
INSECTICID,Metal
INTELLECT,IT
INTENTECH,IT
INTERARCH,Infrastructure
INTLCONV,Infrastructure
INVENTURE,Bank
INVPRECQ,Unmapped
IOB,PSU Bank
IOC,Energy
IOLCP,Pharma
IONEXCHANG,Infrastructure
IPCALAB,Pharma
IPL,Metal
IRB,Infrastructure
IRCON,Infrastructure
IRCTC,Auto
IREDA,Bank
IRFC,Bank
IRIS,IT
IRISDOREME,Auto
IRMENERGY,Energy
ISFT,Auto
ISGEC,Infrastructure
ISHANCH,Metal
ITC,FMCG
ITCHOTELS,Auto
ITDC,Auto
ITI,IT
IVALUE,IT
IVC,Bank
IWP,Unmapped
IXIGO,Auto
IZMO,IT
J&KBANK,Bank
JAGRAN,Media
JAGSNPHARM,Pharma
JAICORPLTD,Metal
JAINREC,Metal
JAIPURKURT,Auto
JAMNAAUTO,Auto
JARO,FMCG
JASH,Infrastructure
JAYAGROGN,Metal
JAYBARMARU,Auto
JAYKAY,Infrastructure
JAYNECOIND,Metal
JAYSREETEA,FMCG
JBMA,Auto
JETFREIGHT,Infrastructure
JGCHEM,Metal
JHS,FMCG
JINDALPHOT,Bank
JINDALPOLY,Auto
JINDALSAW,Metal
JINDALSTEL,Metal
JINDRILL,Energy
JINDWORLD,Auto
JIOFIN,Bank
JISLDVREQS,Infrastructure
JISLJALEQS,Infrastructure
JITFINFRA,Infrastructure
JKCEMENT,Metal
JKIL,Infrastructure
JKLAKSHMI,Metal
JKPAPER,Metal
JKTYRE,Auto
JLHL,Pharma
JMA,Auto
JMFINANCIL,Bank
JNKINDIA,Infrastructure
JPOLYINVST,Bank
JPPOWER,Energy
JSFB,Bank
JSL,Metal
JSLL,Pharma
JSWCEMENT,Metal
JSWDULUX,Unmapped
JSWENERGY,Energy
JSWHL,Bank
JSWINFRA,Infrastructure
JSWSTEEL,Metal
JTEKTINDIA,Auto
JTLIND,Metal
JUBLCPL,Metal
JUBLFOOD,Auto
JUBLINGREA,Metal
JUBLPHARMA,Pharma
JUNIPER,Auto
JUSTDIAL,Media
JWL,Infrastructure
JYOTHYLAB,FMCG
JYOTICNC,Infrastructure
JYOTISTRUC,Infrastructure
KABRAEXTRU,Infrastructure
KAJARIACER,Infrastructure
KALAMANDIR,Auto
KALPATARU,Realty
KALYANIFRG,Auto
KALYANKJIL,Auto
KAMAHOLD,Unmapped
KAMATHOTEL,Auto
KAMOPAINTS,Metal
KANANIIND,Auto
KANPRPLA,Auto
KANSAINER,Metal
KAPSTON,Infrastructure
KARMAENG,Energy
KARURVYSYA,Bank
KAVDEFENCE,IT
KAYA,FMCG
KAYNES,IT
KCP,Metal
KCPSUGIND,FMCG
KDDL,Auto
KEC,Infrastructure
KEEPLEARN,FMCG
KEI,Infrastructure
KELLTONTEC,IT
KENNAMET,Infrastructure
KERNEX,IT
KEYFINSERV,Bank
KFINTECH,IT
KHANDSE,Bank
KICL,Bank
KIMS,Pharma
KINGFA,Metal
KIOCL,Metal
KIRANVYPAR,Unmapped
KIRIINDUS,Metal
KIRLFER,Infrastructure
KIRLOSBROS,Infrastructure
KIRLOSENG,Infrastructure
KIRLOSIND,Infrastructure
KIRLPNU,Infrastructure
KISSHT,Bank
KITEX,Auto
KKCL,Auto
KLBRENG-B,Unmapped
KMEW,Infrastructure
KMSUGAR,Sugar
KNACK,Auto
KNAGRI,FMCG
KNRCON,Infrastructure
KOHINOOR,FMCG
KOKUYOCMLN,Infrastructure
KOLTEPATIL,Realty
KOTAKBANK,Bank
KOTARISUG,FMCG
KOTHARIPET,Metal
KOTHARIPRO,Infrastructure
KOTIC,Unmapped
KOVAI,Pharma
KPEL,Infrastructure
KPIGREEN,Energy
KPIL,Infrastructure
KPITTECH,IT
KPL,Unmapped
KPRMILL,Auto
KRBL,FMCG
KREBSBIO,Pharma
KRISHANA,Metal
KRISHIVAL,FMCG
KRISHNADEF,Infrastructure
KRITIKA,Metal
KRONOX,Metal
KROSS,Auto
KRSNAA,Pharma
KRYSTAL,Infrastructure
KSB,Infrastructure
KSCL,Metal
KSHINTL,Infrastructure
KSL,Metal
KSOLVES,IT
KSR,Auto
KTKBANK,Bank
KUANTUM,Metal
KUSUMGAR,Auto
KWIL,FMCG
LAGNAM,Auto
LAHOTIOV,Unmapped
LAL,Auto
LALPATHLAB,Pharma
LAMBODHARA,Auto
LANCORHOL,Realty
LANDMARK,Auto
LANDSMILL,Infrastructure
LAOPALA,Auto
LASA,Pharma
LASERPOWER,Infrastructure
LATENTVIEW,Infrastructure
LAURUSLABS,Pharma
LAXMICOT,Auto
LAXMIDENTL,Pharma
LCCINFOTEC,FMCG
LEMERITE,Auto
LEMONTREE,Auto
LENSKART,Pharma
LEXUS,Infrastructure
LFIC,Bank
LGBBROSLTD,Auto
LGEINDIA,IT
LGHL,Auto
LIBAS,Auto
LIBERTSHOE,Auto
LICHSGFIN,Bank
LICI,Bank
LIKHITHA,Energy
LINC,Infrastructure
LINCOLN,Pharma
LINDEINDIA,Metal
LLOYDSENGG,Infrastructure
LLOYDSENT,Metal
LLOYDSME,Metal
LMW,Infrastructure
LODHA,Realty
LORDSCHLO,Metal
LOTUSDEV,Infrastructure
LOTUSEYE,Pharma
LOVABLE,Auto
LOYALTEX,Auto
LPDC,Realty
LT,Infrastructure
LTF,Bank
LTFOODS,FMCG
LTM,IT
LTTS,IT
LUMAXIND,Auto
LUMAXTECH,Auto
LUPIN,Pharma
LUXIND,Auto
LXCHEM,Metal
M&M,Auto
M&MFIN,Bank
MAANALU,Metal
MACPOWER,Infrastructure
MADHAV,Infrastructure
MADHAVIPL,Unmapped
MADRASFERT,Metal
MAFATIND,Unmapped
MAGADSUGAR,Sugar
MAGNUM,Metal
MAHABANK,PSU Bank
MAHAPEXLTD,Bank
MAHASTEEL,Metal
MAHEPC,Infrastructure
MAHLIFE,Realty
MAHLOG,Infrastructure
MAHSCOOTER,Bank
MAHSEAMLES,Metal
MAITHANALL,Metal
MAJESAUT,Realty
MALLCOM,Infrastructure
MALUPAPER,Metal
MAMATA,Infrastructure
MANAKALUCO,Metal
MANAKCOAT,Infrastructure
MANAKSIA,Infrastructure
MANALIPETC,Metal
MANAPPURAM,Bank
MANBA,Bank
MANCREDIT,Bank
MANGALAM,Pharma
MANGLMCEM,Metal
MANINDS,Metal
MANINFRA,Infrastructure
MANKIND,Pharma
MANOMAY,Auto
MANORAMA,FMCG
MANYAVAR,Auto
MAPMYINDIA,IT
MARATHON,Realty
MARICO,FMCG
MARINE,Infrastructure
MARKOLINES,Infrastructure
MARKSANS,Pharma
MARSONS,Infrastructure
MARUTI,Auto
MASFIN,Bank
MASTEK,IT
MASTERTR,Bank
MATRIMONY,Media
MAXESTATES,Realty
MAXHEALTH,Pharma
MAXIND,Pharma
MAYURUNIQ,Auto
MAZDOCK,Infrastructure
MBAPL,Metal
MBEL,Infrastructure
MCCHRLS-B,Unmapped
MCL,Metal
MCLOUD,IT
MCX,Bank
MEDANTA,Pharma
MEDIASSIST,Pharma
MEDICAMEQ,Pharma
MEDICO,Pharma
MEDPLUS,Pharma
MEESHO,Auto
MEGASTAR,FMCG
MENNPIS,Unmapped
MERCANTILE,Unmapped
METROBRAND,Auto
METROGLOBL,Infrastructure
METROPOLIS,Pharma
MFML,Auto
MFSL,Bank
MGL,Energy
MHLXMIRU,Auto
